scenario,level,cluster,name,year,metric,value
low,line,c2,sesame_oil,2028,investment,140000.0
low,line,c2,sesame_oil,2028,capital_goods_imports,119000.0
low,line,c2,sesame_oil,2028,tax_gross,22.483068561872912
low,line,c2,sesame_oil,2028,customs_forgone,279.7199999999999
low,line,c2,sesame_oil,2028,tax_revenue,-257.236931438127
low,line,c2,sesame_oil,2029,volume,95.0
low,line,c2,sesame_oil,2029,gross_output,42180.0
low,line,c2,sesame_oil,2029,value_added,3374.4
low,line,c2,sesame_oil,2029,indirect_va,2075.256
low,line,c2,sesame_oil,2029,induced_va,246.0547023411372
low,line,c2,sesame_oil,2029,total_va,5695.710702341137
low,line,c2,sesame_oil,2029,household_income,2563.0698160535117
low,line,c2,sesame_oil,2029,import_substitution,29526.0
low,line,c2,sesame_oil,2029,exports,12654.0
low,line,c2,sesame_oil,2029,imported_inputs,4218.0
low,line,c2,sesame_oil,2029,forgone_exports,88350.0
low,line,c2,sesame_oil,2029,net_fx,-50388.0
low,line,c2,sesame_oil,2029,jobs,1.2
low,line,c2,sesame_oil,2029,investment,420000.00000000006
low,line,c2,sesame_oil,2029,capital_goods_imports,357000.00000000006
low,line,c2,sesame_oil,2029,tax_gross,142.39276755852845
low,line,c2,sesame_oil,2029,customs_forgone,1771.56
low,line,c2,sesame_oil,2029,tax_revenue,-1629.1672324414715
low,line,c2,sesame_oil,2030,volume,260.0
low,line,c2,sesame_oil,2030,gross_output,115440.0
low,line,c2,sesame_oil,2030,value_added,9235.199999999999
low,line,c2,sesame_oil,2030,indirect_va,5679.648
low,line,c2,sesame_oil,2030,induced_va,673.4128695652174
low,line,c2,sesame_oil,2030,total_va,15588.260869565216
low,line,c2,sesame_oil,2030,household_income,7014.717391304347
low,line,c2,sesame_oil,2030,import_substitution,80808.0
low,line,c2,sesame_oil,2030,exports,34632.0
low,line,c2,sesame_oil,2030,imported_inputs,11544.0
low,line,c2,sesame_oil,2030,forgone_exports,241800.0
low,line,c2,sesame_oil,2030,net_fx,-137904.0
low,line,c2,sesame_oil,2030,jobs,2.4
low,line,c2,sesame_oil,2030,investment,560000.0
low,line,c2,sesame_oil,2030,capital_goods_imports,476000.0
low,line,c2,sesame_oil,2030,tax_gross,389.70652173913044
low,line,c2,sesame_oil,2030,customs_forgone,4848.48
low,line,c2,sesame_oil,2030,tax_revenue,-4458.7734782608695
low,line,c2,sesame_oil,2031,volume,460.0
low,line,c2,sesame_oil,2031,gross_output,204240.0
low,line,c2,sesame_oil,2031,value_added,16339.199999999999
low,line,c2,sesame_oil,2031,indirect_va,10048.608
low,line,c2,sesame_oil,2031,induced_va,1191.4227692307693
low,line,c2,sesame_oil,2031,total_va,27579.230769230766
low,line,c2,sesame_oil,2031,household_income,12410.653846153846
low,line,c2,sesame_oil,2031,import_substitution,142967.99999999997
low,line,c2,sesame_oil,2031,exports,61272.000000000015
low,line,c2,sesame_oil,2031,imported_inputs,20424.0
low,line,c2,sesame_oil,2031,forgone_exports,427800.0
low,line,c2,sesame_oil,2031,net_fx,-243984.0
low,line,c2,sesame_oil,2031,jobs,3.5999999999999996
low,line,c2,sesame_oil,2031,investment,559999.9999999999
low,line,c2,sesame_oil,2031,capital_goods_imports,475999.9999999999
low,line,c2,sesame_oil,2031,tax_gross,689.4807692307692
